"pmean" "r" "q0.005" "q0.025" "q0.05" "q0.95" "q0.975" "q0.995"
"1" 1 0 1 1 1 1 1 1
"2" 1 0.0025 1 1 1 1 1 1
"3" 1 0.005 1 1 1 1 1 1
"4" 1 0.0075 1 1 1 1 1 1
"5" 1 0.01 1 1 1 1 1 1
"6" 1 0.0125 1 1 1 1 1 1
"7" 1 0.015 1 1 1 1 1 1
"8" 1 0.0175 1 1 1 1 1 1
"9" 1 0.02 1 1 1 1 1 1
"10" 1 0.0225 1 1 1 1 1 1
"11" 1 0.025 1 1 1 1 1 1
"12" 1 0.0275 1 1 1 1 1 1
"13" 1 0.03 1 1 1 1 1 1
"14" 1 0.0325 1 1 1 1 1 1
"15" 1 0.035 1 1 1 1 1 1
"16" 1 0.0375 1 1 1 1 1 1
"17" 1 0.04 1 1 1 1 1 1
"18" 1 0.0425 1 1 1 1 1 1
"19" 1 0.045 1 1 1 1 1 1
"20" 1 0.0475 1 1 1 1 1 1
"21" 1 0.05 1 1 1 1 1 1
"22" 1 0.0525 1 1 1 1 1 1
"23" 0.999964 0.055 1 1 1 1 1 1
"24" 0.99878857 0.0575 0.956628525 0.981473456 0.993657986 1 1 1
"25" 0.98931141 0.06 0.91169814 0.935644911 0.948388465 1 1 1
"26" 0.96532903 0.0625 0.858242828 0.890759746 0.905564439 1 1 1
"27" 0.93255567 0.065 0.811809071 0.843823341 0.861406282 0.9925551 1 1
"28" 0.89753889 0.0675 0.758183507 0.79746743 0.814686119 0.9662752 0.9770982 0.9927915
"29" 0.86234822 0.07 0.708014799 0.750802533 0.771888274 0.9420932 0.9529759 0.9740201
"30" 0.82632837 0.0725 0.657249827 0.704970746 0.726289158 0.9153501 0.9291113 0.9551177
"31" 0.79021722 0.075 0.611772404 0.657818225 0.681712542 0.8877525 0.9042483 0.9346794
"32" 0.75451803 0.0775 0.57121029 0.615329064 0.638403324 0.8611844 0.8775189 0.9104858
"33" 0.72227142 0.08 0.538305328 0.581157319 0.607322516 0.8327906 0.852254 0.8872253
"34" 0.69721881 0.0825 0.51339509 0.558474718 0.582833511 0.8083357 0.8275551 0.863535
"35" 0.6796519 0.085 0.501736386 0.540585202 0.565796866 0.7908374 0.8086427 0.843002
"36" 0.66547602 0.0875 0.482870564 0.524512736 0.54918794 0.7782354 0.7953912 0.8297222
"37" 0.65283624 0.09 0.468993891 0.511764829 0.534371472 0.7661367 0.786282 0.8198985
"38" 0.64049149 0.0925 0.448964786 0.497251065 0.521326269 0.7566184 0.7766871 0.8145802
"39" 0.6281453 0.095 0.432484913 0.485278272 0.507341472 0.7471254 0.7675248 0.8037955
"40" 0.61581673 0.0975 0.415858684 0.469953665 0.49269342 0.7371505 0.7593798 0.7967464
"41" 0.60336806 0.1 0.406225619 0.455368298 0.479903893 0.7266069 0.7496857 0.7873004
"42" 0.59113278 0.1025 0.391060325 0.441698378 0.466214098 0.7172862 0.7392342 0.7793587
"43" 0.57920726 0.105 0.381043544 0.428323244 0.451688598 0.7077595 0.7297187 0.7719275
"44" 0.56712399 0.1075 0.366823553 0.414929739 0.438845183 0.6984003 0.720443 0.7637178
"45" 0.55514305 0.11 0.35567478 0.400148083 0.424577157 0.6873281 0.7102005 0.7567577
"46" 0.54328019 0.1125 0.343414096 0.386876396 0.410868453 0.6781285 0.700134 0.7484043
"47" 0.53163928 0.115 0.328777494 0.373182956 0.399553015 0.6654281 0.6928695 0.7414514
"48" 0.52012373 0.1175 0.315450665 0.361512757 0.386098705 0.6571087 0.6838175 0.7266772
"49" 0.50891096 0.12 0.30581121 0.348544179 0.374539319 0.6482765 0.6725128 0.7244942
"50" 0.49766746 0.1225 0.296366698 0.336207379 0.361047827 0.6388168 0.6668377 0.7192232
"51" 0.48672039 0.125 0.283119102 0.325007151 0.349045875 0.6295497 0.6574582 0.7102174
"52" 0.47608103 0.1275 0.267312757 0.315244239 0.337414312 0.6197515 0.6485275 0.7009107
"53" 0.46573534 0.13 0.260914078 0.303724499 0.327677938 0.6112392 0.6402469 0.6969003
"54" 0.45541419 0.1325 0.250054753 0.293580645 0.316071965 0.6024387 0.632775 0.6889913
"55" 0.44559934 0.135 0.240521835 0.284449983 0.30693088 0.5955275 0.624944 0.6803824
"56" 0.43616745 0.1375 0.230520533 0.274188958 0.296287186 0.586013 0.6155662 0.674092
"57" 0.42713852 0.14 0.2198844 0.265275225 0.288359314 0.5770768 0.6083664 0.668235
"58" 0.41825185 0.1425 0.2114204 0.255188159 0.279052683 0.5699909 0.6009186 0.6582476
"59" 0.40969413 0.145 0.202694747 0.246992406 0.2703449 0.5648072 0.5927404 0.651765
"60" 0.40127593 0.1475 0.192240985 0.238976322 0.260485649 0.5572065 0.5865582 0.6449618
"61" 0.39309082 0.15 0.186700687 0.229436921 0.253063843 0.5491769 0.5814758 0.6419959
"62" 0.38546681 0.1525 0.18100663 0.223640548 0.246439057 0.5408326 0.5722208 0.6336286
"63" 0.37801319 0.155 0.175381674 0.214713985 0.23885301 0.533673 0.5663746 0.6292623
"64" 0.37053833 0.1575 0.165696656 0.208408526 0.229550222 0.5278118 0.5606591 0.6290245
"65" 0.36315926 0.16 0.158439329 0.20091831 0.221242494 0.5226497 0.5540057 0.6204304
"66" 0.35600469 0.1625 0.151469852 0.193089045 0.216384279 0.5148026 0.5478012 0.6134497
"67" 0.34895212 0.165 0.144242585 0.187819402 0.208617817 0.509297 0.5422311 0.6084255
"68" 0.34204159 0.1675 0.139902544 0.179886175 0.202061597 0.503192 0.535803 0.6050059
"69" 0.3353048 0.17 0.133581946 0.172856724 0.19583279 0.4960112 0.5301496 0.5965628
"70" 0.32874502 0.1725 0.125877509 0.167144211 0.188450846 0.4895843 0.5230017 0.5963094
"71" 0.32219553 0.175 0.121791417 0.160891721 0.183153727 0.4841211 0.5193475 0.5925409
"72" 0.31600587 0.1775 0.11713554 0.156436081 0.17531108 0.4783886 0.5132994 0.5871272
"73" 0.30989148 0.18 0.113460573 0.149774679 0.169967158 0.4735822 0.5077155 0.5832181
"74" 0.30412811 0.1825 0.110437844 0.143493766 0.164260839 0.467969 0.5029299 0.5836226
"75" 0.29829052 0.185 0.102712052 0.13686798 0.158592626 0.4622559 0.4991728 0.5793276
"76" 0.29273254 0.1875 0.102323964 0.133780883 0.152383125 0.4569288 0.4932445 0.5774086
"77" 0.28720702 0.19 0.095963544 0.128444271 0.146881381 0.4523455 0.4916026 0.5694085
"78" 0.28169288 0.1925 0.090318506 0.124386011 0.142131603 0.4480246 0.4883474 0.5674432
"79" 0.27631555 0.195 0.086266609 0.11895518 0.13779009 0.4445596 0.4801835 0.5624727
"80" 0.27109416 0.1975 0.082187464 0.115430169 0.133303666 0.4387626 0.4764598 0.5563743
"81" 0.26580354 0.2 0.076490593 0.11266628 0.128797433 0.4335158 0.4740426 0.5536742
"82" 0.26080346 0.2025 0.073582601 0.10689399 0.124126927 0.429606 0.4713011 0.551646
"83" 0.2558649 0.205 0.071411465 0.102721722 0.120347861 0.425024 0.4649912 0.5492315
"84" 0.25098816 0.2075 0.067506096 0.098608571 0.116632501 0.4203064 0.4575977 0.5475483
"85" 0.24632545 0.21 0.06250688 0.09475933 0.112560723 0.4161734 0.4557238 0.5402603
"86" 0.24182263 0.2125 0.060777994 0.091670253 0.108329216 0.4121858 0.4501478 0.5401889
"87" 0.23722245 0.215 0.056505566 0.087907629 0.104460406 0.4074815 0.4459664 0.5271409
"88" 0.23286842 0.2175 0.054706837 0.084149611 0.100906748 0.4026712 0.4416045 0.528381
"89" 0.22869104 0.22 0.051969347 0.081341188 0.098050026 0.3975988 0.4367861 0.5213466
"90" 0.22453235 0.2225 0.048210393 0.077502678 0.093937146 0.3925844 0.4333958 0.5189518
